firstName,lastName,personId,gameId,gameDateTimeEst,playerteamCity,playerteamName,opponentteamCity,opponentteamName,gameType,gameLabel,gameSubLabel,seriesGameNumber,win,home,numMinutes,points,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,season,playerName
Donovan,Mitchell,1628378,22300607,2024-01-22 19:00:00,Cleveland,Cavaliers,Orlando,Magic,Regular Season,,,,1,0,30.0,25.0,13.0,0.0,4.0,19.0,9.0,0.474,8.0,3.0,0.375,4.0,4.0,1.0,3.0,0.0,3.0,3.0,3.0,34.0,2023-24,Donovan Mitchell
Donovan,Mitchell,1628378,22300595,2024-01-20 19:30:00,Cleveland,Cavaliers,Atlanta,Hawks,Regular Season,,,,1,0,35.0,18.0,8.0,1.0,0.0,17.0,6.0,0.353,6.0,0.0,0.0,6.0,6.0,1.0,6.0,0.0,6.0,3.0,1.0,17.0,2023-24,Donovan Mitchell
Donovan,Mitchell,1628378,22300572,2024-01-17 19:30:00,Cleveland,Cavaliers,Milwaukee,Bucks,Regular Season,,,,1,1,25.0,31.0,7.0,0.0,3.0,19.0,12.0,0.632,8.0,4.0,0.5,4.0,3.0,0.75,4.0,1.0,5.0,1.0,1.0,37.0,2023-24,Donovan Mitchell
Donovan,Mitchell,1628378,22300561,2024-01-15 19:00:00,Cleveland,Cavaliers,Chicago,Bulls,Regular Season,,,,1,1,36.0,34.0,7.0,0.0,2.0,21.0,11.0,0.524,10.0,4.0,0.4,8.0,8.0,1.0,1.0,2.0,3.0,0.0,2.0,19.0,2023-24,Donovan Mitchell
Donovan,Mitchell,1628378,22300527,2024-01-11 14:00:00,Cleveland,Cavaliers,Brooklyn,Nets,Regular Season,NBA Paris Game,,,1,1,40.0,45.0,6.0,0.0,4.0,30.0,15.0,0.5,12.0,4.0,0.333,13.0,11.0,0.846,10.0,2.0,12.0,1.0,7.0,12.0,2023-24,Donovan Mitchell
Donovan,Mitchell,1628378,22300497,2024-01-07 13:00:00,Cleveland,Cavaliers,San Antonio,Spurs,Regular Season,,,,1,1,36.0,17.0,9.0,0.0,1.0,18.0,7.0,0.389,10.0,1.0,0.1,4.0,2.0,0.5,2.0,0.0,2.0,1.0,4.0,-6.0,2023-24,Donovan Mitchell
Donovan,Mitchell,1628378,22300482,2024-01-05 19:30:00,Cleveland,Cavaliers,Washington,Wizards,Regular Season,,,,1,1,25.0,26.0,4.0,0.0,1.0,15.0,8.0,0.533,8.0,5.0,0.625,8.0,5.0,0.625,1.0,1.0,2.0,2.0,3.0,22.0,2023-24,Donovan Mitchell
Donovan,Mitchell,1628378,22300465,2024-01-03 19:00:00,Cleveland,Cavaliers,Washington,Wizards,Regular Season,,,,1,1,24.0,22.0,4.0,2.0,2.0,16.0,6.0,0.375,9.0,4.0,0.444,6.0,6.0,1.0,2.0,1.0,3.0,0.0,2.0,18.0,2023-24,Donovan Mitchell
Donovan,Mitchell,1628378,22300452,2024-01-01 19:30:00,Cleveland,Cavaliers,Toronto,Raptors,Regular Season,,,,0,0,37.0,26.0,7.0,0.0,4.0,21.0,8.0,0.381,9.0,4.0,0.444,6.0,6.0,1.0,6.0,1.0,7.0,4.0,3.0,7.0,2023-24,Donovan Mitchell
Donovan,Mitchell,1628378,22300433,2023-12-29 19:30:00,Cleveland,Cavaliers,Milwaukee,Bucks,Regular Season,,,,0,1,36.0,34.0,9.0,1.0,2.0,23.0,14.0,0.609,10.0,2.0,0.2,4.0,4.0,1.0,5.0,1.0,6.0,3.0,2.0,3.0,2023-24,Donovan Mitchell
Donovan,Mitchell,1628378,22300349,2023-12-18 19:00:00,Cleveland,Cavaliers,Houston,Rockets,Regular Season,,,,1,1,45.0,37.0,6.0,2.0,0.0,27.0,14.0,0.519,11.0,4.0,0.364,5.0,5.0,1.0,1.0,0.0,1.0,5.0,2.0,4.0,2023-24,Donovan Mitchell
Donovan,Mitchell,1628378,22300336,2023-12-16 19:30:00,Cleveland,Cavaliers,Atlanta,Hawks,Regular Season,,,,1,1,40.0,22.0,13.0,0.0,2.0,21.0,7.0,0.333,9.0,4.0,0.444,4.0,4.0,1.0,2.0,3.0,5.0,4.0,1.0,7.0,2023-24,Donovan Mitchell
Donovan,Mitchell,1628378,22300319,2023-12-14 19:30:00,Cleveland,Cavaliers,Boston,Celtics,Regular Season,,,,0,0,39.0,31.0,6.0,0.0,1.0,24.0,12.0,0.5,8.0,2.0,0.25,5.0,5.0,1.0,7.0,1.0,8.0,2.0,3.0,-11.0,2023-24,Donovan Mitchell
Donovan,Mitchell,1628378,22300305,2023-12-12 19:30:00,Cleveland,Cavaliers,Boston,Celtics,Regular Season,,,,0,0,35.0,29.0,3.0,0.0,1.0,22.0,11.0,0.5,13.0,5.0,0.385,2.0,2.0,1.0,6.0,0.0,6.0,3.0,3.0,6.0,2023-24,Donovan Mitchell
