playerName,season,total_points,total_games,avg_points_per_game
Andre Drummond,2018-19,1370.0,79,17.341772151898734
Andre Drummond,2019-20,1010.0,57,17.719298245614034
Andre Drummond,2020-21,691.0,47,14.702127659574469
Andre Drummond,2021-22,596.0,74,8.054054054054054
Andre Drummond,2022-23,407.0,69,5.898550724637682
Andre Drummond,2023-24,669.0,81,8.25925925925926
Andre Drummond,2024-25,293.0,40,7.325
Andre Drummond,2025-26,214.0,30,7.133333333333334
Andre Emmett,2004-05,7.0,7,1.0
Andre Emmett,2011-12,13.0,5,2.6
Andre Iguodala,2004-05,741.0,82,9.036585365853659
Andre Iguodala,2005-06,1007.0,82,12.28048780487805
Andre Iguodala,2006-07,1386.0,76,18.236842105263158
Andre Iguodala,2007-08,1630.0,82,19.878048780487806
Andre Iguodala,2008-09,1541.0,82,18.79268292682927
Andre Iguodala,2009-10,1401.0,82,17.085365853658537
Andre Iguodala,2010-11,945.0,67,14.104477611940299
Andre Iguodala,2011-12,771.0,62,12.435483870967742
Andre Iguodala,2012-13,1038.0,80,12.975
Andre Iguodala,2013-14,588.0,63,9.333333333333334
Andre Iguodala,2014-15,604.0,77,7.8441558441558445
Andre Iguodala,2015-16,457.0,65,7.030769230769231
Andre Iguodala,2016-17,574.0,76,7.552631578947368
Andre Iguodala,2017-18,384.0,64,6.0
Andre Iguodala,2018-19,389.0,68,5.720588235294118
Andre Iguodala,2019-20,96.0,21,4.571428571428571
Andre Iguodala,2020-21,275.0,63,4.365079365079365
Andre Iguodala,2021-22,124.0,31,4.0
Andre Iguodala,2022-23,17.0,8,2.125
Andre Ingram,2017-18,24.0,2,12.0
Andre Ingram,2018-19,0.0,4,0.0
Andre Jackson Jr.,2023-24,125.0,53,2.358490566037736
Andre Jackson Jr.,2024-25,232.0,67,3.462686567164179
Andre Jackson Jr.,2025-26,22.0,15,1.4666666666666666
Andre McCarter,1976-77,270.0,59,4.576271186440678
Andre McCarter,1977-78,0.0,1,0.0
Andre McCarter,1980-81,122.0,42,2.9047619047619047
Andre Miller,1999-00,914.0,82,11.146341463414634
Andre Miller,2000-01,1296.0,82,15.804878048780488
Andre Miller,2001-02,1335.0,81,16.48148148148148
Andre Miller,2002-03,1088.0,80,13.6
Andre Miller,2003-04,1214.0,82,14.804878048780488
Andre Miller,2004-05,1113.0,82,13.573170731707316
Andre Miller,2005-06,1126.0,82,13.731707317073171
Andre Miller,2006-07,1075.0,80,13.4375
Andre Miller,2007-08,1398.0,82,17.048780487804876
Andre Miller,2008-09,1337.0,82,16.304878048780488
Andre Miller,2009-10,1146.0,82,13.975609756097562
Andre Miller,2010-11,1029.0,81,12.703703703703704
Andre Miller,2011-12,639.0,66,9.681818181818182
Andre Miller,2012-13,786.0,82,9.585365853658537
Andre Miller,2013-14,283.0,58,4.879310344827586
Andre Miller,2014-15,355.0,81,4.382716049382716
Andre Miller,2015-16,144.0,38,3.789473684210526
Andre Moore,1987-88,24.0,10,2.4
Andre Owens,2005-06,69.0,20,3.45
Andre Owens,2007-08,123.0,30,4.1
Andre Roberson,2013-14,74.0,37,2.0
Andre Roberson,2014-15,228.0,67,3.4029850746268657
Andre Roberson,2015-16,337.0,70,4.814285714285714
Andre Roberson,2016-17,522.0,79,6.6075949367088604
Andre Roberson,2017-18,194.0,39,4.9743589743589745
Andre Roberson,2019-20,20.0,7,2.857142857142857
Andre Roberson,2020-21,6.0,5,1.2
Andre Spencer,1992-93,187.0,20,9.35
Andre Spencer,1993-94,159.0,28,5.678571428571429
Andre Turner,1986-87,4.0,3,1.3333333333333333
Andre Turner,1987-88,35.0,12,2.9166666666666665
Andre Turner,1988-89,6.0,4,1.5
Andre Turner,1989-90,26.0,11,2.3636363636363638
Andre Turner,1990-91,412.0,70,5.885714285714286
Andre Turner,1991-92,284.0,70,4.057142857142857
Andre Wakefield,1978-79,170.0,72,2.361111111111111
Andre Wakefield,1979-80,15.0,8,1.875
Andrea Bargnani,2006-07,751.0,65,11.553846153846154
Andrea Bargnani,2007-08,792.0,78,10.153846153846153
Andrea Bargnani,2008-09,1202.0,78,15.41025641025641
Andrea Bargnani,2009-10,1376.0,80,17.2
Andrea Bargnani,2010-11,1414.0,66,21.424242424242426
Andrea Bargnani,2011-12,603.0,31,19.451612903225808
Andrea Bargnani,2012-13,443.0,35,12.657142857142857
Andrea Bargnani,2013-14,558.0,42,13.285714285714286
Andrea Bargnani,2014-15,430.0,29,14.827586206896552
Andrea Bargnani,2015-16,304.0,46,6.608695652173913
Andreas Glyniadakis,2006-07,17.0,11,1.5454545454545454
Andrei Kirilenko,2001-02,880.0,82,10.731707317073171
Andrei Kirilenko,2002-03,963.0,80,12.0375
Andrei Kirilenko,2003-04,1284.0,78,16.46153846153846
Andrei Kirilenko,2004-05,640.0,41,15.609756097560975
Andrei Kirilenko,2005-06,1054.0,69,15.27536231884058
Andrei Kirilenko,2006-07,584.0,70,8.342857142857143
Andrei Kirilenko,2007-08,792.0,72,11.0
Andrei Kirilenko,2008-09,776.0,67,11.582089552238806
Andrei Kirilenko,2009-10,688.0,58,11.862068965517242
Andrei Kirilenko,2010-11,750.0,64,11.71875
Andrei Kirilenko,2012-13,791.0,64,12.359375
Andrei Kirilenko,2013-14,226.0,45,5.022222222222222
Andrei Kirilenko,2014-15,3.0,7,0.42857142857142855
Andres Guibert,1993-94,15.0,5,3.0
Andres Guibert,1994-95,45.0,17,2.6470588235294117
Andres Nocioni,2004-05,677.0,81,8.358024691358025
Andres Nocioni,2005-06,1063.0,82,12.963414634146341
Andres Nocioni,2006-07,749.0,53,14.132075471698114
Andres Nocioni,2007-08,1080.0,82,13.170731707317072
Andres Nocioni,2008-09,867.0,76,11.407894736842104
Andres Nocioni,2009-10,635.0,75,8.466666666666667
Andres Nocioni,2010-11,327.0,53,6.169811320754717
Andres Nocioni,2011-12,17.0,11,1.5454545454545454
Andrew Bogut,2005-06,768.0,82,9.365853658536585
Andrew Bogut,2006-07,809.0,66,12.257575757575758
Andrew Bogut,2007-08,1119.0,78,14.346153846153847
Andrew Bogut,2008-09,422.0,36,11.722222222222221
Andrew Bogut,2009-10,1095.0,69,15.869565217391305
Andrew Bogut,2010-11,830.0,65,12.76923076923077
Andrew Bogut,2011-12,136.0,12,11.333333333333334
Andrew Bogut,2012-13,186.0,32,5.8125
Andrew Bogut,2013-14,492.0,67,7.343283582089552
Andrew Bogut,2014-15,422.0,67,6.298507462686567
Andrew Bogut,2015-16,375.0,70,5.357142857142857
Andrew Bogut,2016-17,79.0,26,3.0384615384615383
Andrew Bogut,2017-18,36.0,23,1.565217391304348
Andrew Bogut,2018-19,39.0,11,3.5454545454545454
Andrew Bynum,2005-06,74.0,45,1.6444444444444444
Andrew Bynum,2006-07,637.0,82,7.7682926829268295
Andrew Bynum,2007-08,460.0,35,13.142857142857142
Andrew Bynum,2008-09,714.0,50,14.28
Andrew Bynum,2009-10,977.0,65,15.03076923076923
Andrew Bynum,2010-11,612.0,54,11.333333333333334
Andrew Bynum,2011-12,1123.0,60,18.716666666666665
Andrew Bynum,2013-14,225.0,26,8.653846153846153
Andrew DeClercq,1995-96,59.0,22,2.6818181818181817
Andrew DeClercq,1996-97,375.0,71,5.28169014084507
Andrew DeClercq,1997-98,439.0,81,5.419753086419753
Andrew DeClercq,1998-99,371.0,47,7.8936170212765955
Andrew DeClercq,1999-00,544.0,82,6.634146341463414
Andrew DeClercq,2000-01,261.0,67,3.8955223880597014
Andrew DeClercq,2001-02,162.0,61,2.6557377049180326
Andrew DeClercq,2002-03,365.0,77,4.740259740259741
Andrew DeClercq,2003-04,230.0,70,3.2857142857142856
Andrew DeClercq,2004-05,9.0,8,1.125
Andrew Funk,2023-24,0.0,5,0.0
Andrew Gaze,1993-94,22.0,7,3.142857142857143
Andrew Gaze,1998-99,14.0,12,1.1666666666666667
Andrew Goudelock,2011-12,175.0,39,4.487179487179487
Andrew Goudelock,2012-13,0.0,1,0.0
Andrew Goudelock,2015-16,22.0,7,3.142857142857143
